,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3408,,52,20250821,112904000,600016,1,4.760,800,600016.SZ,B,2025-08-21,11:29:04
3409,,52,20250821,112903000,600010,1,2.700,200,600010.SZ,B,2025-08-21,11:29:03
3410,0102000048736641,58,20250821,112902468,002512,2,4.070,500,002512.SH,S,2025-08-21,11:29:02.468000
3411,0102000048736517,58,20250821,112902423,002080,2,32.120,100,002080.SH,S,2025-08-21,11:29:02.423000
3412,0000000039470547,61,20250821,112900512,600233,1,18.210,400,600233.SZ,B,2025-08-21,11:29:00.512000
3413,0000000039458072,61,20250821,112853497,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:28:53.497000
3414,0000000039458071,61,20250821,112853497,600233,1,18.210,200,600233.SZ,B,2025-08-21,11:28:53.497000
3415,,52,20250821,112850000,601718,1,3.890,200,601718.SZ,B,2025-08-21,11:28:50
3416,,52,20250821,112843000,601658,2,6.210,100,601658.SZ,S,2025-08-21,11:28:43
3417,0102000048680054,61,20250821,112839450,002512,2,4.070,1100,002512.SH,S,2025-08-21,11:28:39.450000
3418,0000000039410773,59,20250821,112827000,600233,1,18.200,200,600233.SZ,B,2025-08-21,11:28:27
3419,0000000039410772,59,20250821,112827000,600233,1,18.200,200,600233.SZ,B,2025-08-21,11:28:27
3420,0000000039410657,61,20250821,112827497,600233,1,18.200,400,600233.SZ,B,2025-08-21,11:28:27.497000
3421,0000000039410656,61,20250821,112827497,600233,1,18.200,100,600233.SZ,B,2025-08-21,11:28:27.497000
3422,0104000048000299,61,20250821,112827670,002170,2,10.520,100,002170.SH,S,2025-08-21,11:28:27.670000
3423,0000000039369675,61,20250821,112805498,600233,1,18.220,200,600233.SZ,B,2025-08-21,11:28:05.498000
3424,,52,20250821,112722000,600507,2,6.120,100,600507.SZ,S,2025-08-21,11:27:22
3425,0000000039302549,58,20250821,112732142,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:27:32.142000
3426,0000000039302318,58,20250821,112732021,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:27:32.021000
3427,0000000039302317,58,20250821,112732021,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:27:32.021000
3428,0000000039302316,58,20250821,112732020,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:27:32.020000
3429,0000000039302313,58,20250821,112732020,600233,1,18.210,100,600233.SZ,B,2025-08-21,11:27:32.020000
3430,0000000039128262,59,20250821,112615000,688306,2,12.540,597,688306.SZ,S,2025-08-21,11:26:15
3431,0000000039127982,61,20250821,112615532,688306,2,12.540,540,688306.SZ,S,2025-08-21,11:26:15.532000
3432,,52,20250821,112120000,601339,2,5.720,100,601339.SZ,S,2025-08-21,11:21:20
3433,0000000039091874,61,20250821,112602514,688306,2,12.530,183,688306.SZ,S,2025-08-21,11:26:02.514000
3434,0000000039091873,61,20250821,112602514,688306,2,12.530,17,688306.SZ,S,2025-08-21,11:26:02.514000
3435,0104000047559750,61,20250821,112547520,000962,2,21.060,400,000962.SH,S,2025-08-21,11:25:47.520000
3436,0102000048194008,59,20250821,112545000,002279,1,7.540,1500,002279.SH,B,2025-08-21,11:25:45
3437,0102000048146164,59,20250821,112526000,002080,2,32.070,200,002080.SH,S,2025-08-21,11:25:26
3438,0000000038930900,61,20250821,112443495,603166,2,19.030,600,603166.SZ,S,2025-08-21,11:24:43.495000
3439,0104000047374431,61,20250821,112438410,000962,2,21.060,100,000962.SH,S,2025-08-21,11:24:38.410000
3440,0102000047999451,61,20250821,112432900,002080,2,32.100,400,002080.SH,S,2025-08-21,11:24:32.900000
3441,0102000047963397,58,20250821,112422386,002279,1,7.540,1000,002279.SH,B,2025-08-21,11:24:22.386000
3442,0101000049281807,61,20250821,112422710,002370,1,6.820,1400,002370.SH,B,2025-08-21,11:24:22.710000
3443,,52,20250821,112337000,300705,2,19.480,300,300705.SH,S,2025-08-21,11:23:37
3444,0103000050496836,58,20250821,112337444,300705,2,19.480,100,300705.SH,S,2025-08-21,11:23:37.444000
3445,0000000038738313,61,20250821,112323531,601225,2,21.920,400,601225.SZ,S,2025-08-21,11:23:23.531000
3446,,52,20250821,112304000,300098,1,5.850,200,300098.SH,B,2025-08-21,11:23:04
3447,0101000048976120,58,20250821,112259412,002370,1,6.820,500,002370.SH,B,2025-08-21,11:22:59.412000
3448,0102000047632853,58,20250821,112250859,002080,2,32.110,200,002080.SH,S,2025-08-21,11:22:50.859000
3449,0104000046966491,58,20250821,112236418,000962,2,21.030,100,000962.SH,S,2025-08-21,11:22:36.418000
3450,0102000047572109,58,20250821,112232386,002453,1,6.420,1000,002453.SH,B,2025-08-21,11:22:32.386000
3451,,52,20250821,112231000,002453,1,6.420,200,002453.SH,B,2025-08-21,11:22:31
3452,0102000047526733,59,20250821,112217000,300133,2,8.690,100,300133.SH,S,2025-08-21,11:22:17
3453,0102000047526735,61,20250821,112217260,300133,2,8.690,100,300133.SH,S,2025-08-21,11:22:17.260000
