代码,昨收
600846,10.31
002719,10.12
600037,8.86
603326,9.21
600970,9.23
600587,18.14
605089,26.36
920108,17.66
300750,263.66
000070,9.05
605377,9.34
300775,27.71
601800,9.36
600584,34.77
301307,25.25
300788,32.45
603107,16.11
601065,8.58
002817,8.3
600650,16.42
300823,16.66
301629,156.18
300661,74.65
870726,17.14
600158,8.63
002633,16.66
301051,24.53
301617,40.14
688486,63.8
002845,15.29
002282,7.9
605011,22.54
301066,16.0
600100,7.54
688296,15.31
601512,7.91
603208,15.0
688013,37.28
300925,23.79
601886,7.6
300192,15.86
300232,7.48
600674,15.51
600367,15.8
300397,14.74
688349,27.86
000919,7.25
002301,7.17
002677,7.09
605318,29.55
600493,7.09
000019,6.98
600712,6.99
301362,44.08
600825,7.32
603385,7.19
430418,29.48
002029,7.28
002472,35.6
002614,6.95
001219,14.35
600455,29.07
000936,7.32
000598,7.06
300015,12.98
688359,66.1
000002,6.48
300386,19.4
300692,6.59
600116,6.8
002392,6.85
300545,34.13
000505,6.77
000422,13.56
600719,6.53
002507,13.35
603236,84.72
600458,13.6
002101,13.02
603009,40.85
001373,33.92
000619,6.52
003041,27.44
000958,6.73
000027,6.68
002193,6.45
300463,12.76
600611,6.27
603889,6.1
603029,18.93
002866,18.64
600573,12.32
000610,12.79
603041,12.81
300800,12.41
002268,18.67
688183,54.87
688798,73.28
688789,73.7
603838,6.15
300867,18.08
001378,23.72
301223,17.82
